iter	Passed	Remaining
682	218311	2978047
683	218692	2978568
684	218963	2977580
685	219332	2977927
686	219670	2977861
687	219947	2976967
688	220414	2978635
689	220804	2979262
690	221191	2979842
691	221602	2980749
692	221949	2980780
693	222268	2980447
694	222588	2980121
695	222879	2979418
696	223244	2979683
697	223629	2980226
698	223956	2980001
699	224288	2979832
700	224619	2979651
701	224880	2978550
702	225235	2978680
703	225741	2980816
704	226100	2980998
705	226479	2981446
706	226792	2981017
707	227247	2982463
708	227643	2983130
709	228059	2984052
710	228277	2982382
711	228582	2981846
712	228911	2981622
713	229311	2982334
