iter	Passed	Remaining
596	5393	1833
597	5401	1824
598	5410	1815
599	5418	1806
600	5427	1797
601	5435	1787
602	5444	1778
603	5452	1769
604	5461	1760
605	5470	1751
606	5480	1742
607	5489	1733
608	5497	1724
609	5506	1715
610	5514	1705
611	5523	1696
612	5531	1687
613	5540	1678
614	5549	1669
615	5557	1660
616	5566	1650
617	5576	1642
618	5585	1633
619	5594	1624
620	5602	1614
621	5611	1605
622	5619	1596
623	5628	1587
624	5636	1578
625	5645	1569
626	5653	1559
627	5661	1550
628	5672	1542
629	5681	1533
630	5690	1524
631	5699	1514
632	5707	1505
633	5715	1496
634	5724	1487
635	5732	1478
636	5741	1469
637	5749	1459
638	5758	1450
639	5766	1441
640	5777	1433
641	5785	1423
642	5795	1414
643	5803	1405
644	5811	1396
645	5820	1387
646	5828	1378
647	5837	1369
648	5845	1360
649	5854	1350
650	5862	1341
651	5873	1333
652	5882	1324
653	5891	1315
654	5899	1306
655	5908	1296
656	5916	1287
657	5924	1278
658	5933	1269
659	5941	1260
660	5950	1251
661	5958	1242
662	5967	1233
663	5978	1224
664	5987	1215
665	5996	1206
666	6005	1197
667	6013	1188
668	6022	1179
669	6030	1170
670	6039	1161
671	6047	1151
672	6056	1142
673	6064	1133
674	6075	1125
675	6084	1116
676	6093	1107
677	6101	1097
678	6110	1088
679	6118	1079
680	6127	1070
681	6135	1061
682	6144	1052
683	6152	1043
684	6161	1034
685	6170	1025
686	6180	1016
687	6189	1007
688	6198	998
689	6209	989
690	6218	980
691	6226	971
692	6235	962
693	6243	953
694	6252	944
695	6260	935
696	6270	926
697	6280	917
698	6288	908
699	6297	899
700	6305	890
701	6313	881
702	6322	872
703	6330	863
704	6338	854
705	6346	845
706	6354	835
707	6362	826
708	6373	817
709	6381	808
710	6390	799
711	6398	790
712	6407	781
713	6415	772
714	6424	763
715	6432	754
716	6440	745
717	6448	736
718	6456	727
719	6465	718
720	6475	709
721	6484	700
722	6492	691
723	6500	682
724	6509	673
725	6517	664
726	6525	655
727	6533	646
728	6541	637
729	6549	628
730	6558	619
731	6566	609
732	6576	601
733	6585	592
734	6594	583
735	6602	574
736	6610	565
737	6618	556
738	6626	547
739	6634	537
740	6643	528
741	6651	519
742	6659	510
743	6667	501
744	6678	493
